Date,Category,RefNo,Date.1,Withdrawal,Deposit,Balance,Month,Year,day
2023-01-09,Food,3.24E+11,1/9/2023,20.0,0.0,4357.86,January,2023,Monday
2023-01-09,Rent,3.24E+11,1/9/2023,7310.0,0.0,5036.86,January,2023,Monday
2023-01-10,Food,3.27E+11,1/10/2023,85.0,0.0,1651.32,January,2023,Tuesday
2023-01-10,Food,3.27E+11,1/10/2023,50.0,0.0,1736.32,January,2023,Tuesday
2023-01-10,Food,3.27E+11,1/10/2023,25.0,0.0,1786.32,January,2023,Tuesday
2023-01-10,Food,3.27E+11,1/10/2023,20.0,0.0,1811.32,January,2023,Tuesday
2023-01-10,Misc,0,30/09/23,0.0,20.0,1851.32,January,2023,Tuesday
2023-01-10,Food,3.27E+11,1/10/2023,20.0,0.0,1831.32,January,2023,Tuesday
2023-01-11,Misc,3.31E+11,1/11/2023,500.0,0.0,0.15,January,2023,Wednesday
2023-01-11,Misc,3.31E+11,1/11/2023,0.0,500.0,500.15,January,2023,Wednesday
2023-01-12,Food,3.70E+11,2/12/2023,19.0,0.0,894.97,January,2023,Thursday
2023-01-13,Food,3.38E+11,13/01/23,12.0,0.0,19.73,January,2023,Friday
2023-01-13,Food,3.38E+11,13/01/23,57.0,0.0,571.73,January,2023,Friday
2023-01-13,Misc,3.38E+11,13/01/23,480.0,0.0,31.73,January,2023,Friday
2023-01-13,Food,3.01E+11,13/01/23,50.0,0.0,2089.73,January,2023,Friday
2023-01-13,Food,3.38E+11,13/01/23,15.0,0.0,2274.73,January,2023,Friday
2023-01-13,Misc,3.01E+11,13/01/23,0.0,200.0,2289.73,January,2023,Friday
2023-01-13,Food,3.01E+11,13/01/23,60.0,0.0,511.73,January,2023,Friday
2023-01-13,Misc,3.38E+11,13/01/23,0.0,120.0,2139.73,January,2023,Friday
2023-01-13,Misc,3.38E+11,13/01/23,0.0,2000.0,2019.73,January,2023,Friday
2023-01-14,Misc,3.38E+11,14/01/23,0.0,25.0,2055.98,January,2023,Saturday
2023-01-14,Food,3.38E+11,14/01/23,30.0,0.0,2204.73,January,2023,Saturday
2023-01-14,Food,3.38E+11,14/01/23,20.0,0.0,1985.98,January,2023,Saturday
2023-01-14,Misc,3.38E+11,14/01/23,0.0,10.0,1995.98,January,2023,Saturday
2023-01-14,Food,3.38E+11,14/01/23,30.0,0.0,1965.98,January,2023,Saturday
2023-01-14,Food,3.01E+11,14/01/23,40.0,0.0,2234.73,January,2023,Saturday
2023-01-14,Food,3.01E+11,14/01/23,173.75,0.0,2030.98,January,2023,Saturday
2023-01-14,Food,3.38E+11,14/01/23,50.0,0.0,2005.98,January,2023,Saturday
2023-01-15,Food,3.38E+11,15/01/23,30.0,0.0,1590.98,January,2023,Sunday
2023-01-15,Food,3.02E+11,15/01/23,35.0,0.0,1820.98,January,2023,Sunday
2023-01-15,Misc,3.38E+11,15/01/23,110.0,0.0,1855.98,January,2023,Sunday
2023-01-15,Misc,3.38E+11,15/01/23,200.0,0.0,1620.98,January,2023,Sunday
2023-01-15,Food,3.38E+11,15/01/23,40.0,0.0,1550.98,January,2023,Sunday
2023-01-15,Food,3.38E+11,15/01/23,155.24,0.0,1395.74,January,2023,Sunday
2023-01-15,Food,3.38E+11,15/01/23,25.0,0.0,1370.74,January,2023,Sunday
2023-01-16,Food,3.02E+11,16/01/23,12.0,0.0,1358.74,January,2023,Monday
2023-01-16,Food,3.02E+11,16/01/23,33.0,0.0,1325.74,January,2023,Monday
2023-01-16,Food,3.38E+11,16/01/23,29.0,0.0,1296.74,January,2023,Monday
2023-01-16,Food,3.38E+11,16/01/23,20.0,0.0,1134.74,January,2023,Monday
2023-01-16,Food,3.38E+11,16/01/23,32.0,0.0,1154.74,January,2023,Monday
2023-01-16,Food,3.38E+11,16/01/23,60.0,0.0,1186.74,January,2023,Monday
2023-01-16,Food,3.38E+11,16/01/23,50.0,0.0,1246.74,January,2023,Monday
2023-01-17,Food,3.02E+11,17/01/23,85.0,0.0,640.74,January,2023,Tuesday
2023-01-17,Food,3.38E+11,17/01/23,30.0,0.0,725.74,January,2023,Tuesday
2023-01-17,Food,3.38E+11,17/01/23,70.0,0.0,755.74,January,2023,Tuesday
2023-01-17,Food,3.02E+11,17/01/23,37.0,0.0,1097.74,January,2023,Tuesday
2023-01-17,Misc,3.02E+11,17/01/23,272.0,0.0,825.74,January,2023,Tuesday
2023-01-17,Food,3.38E+11,17/01/23,20.0,0.0,600.74,January,2023,Tuesday
2023-01-17,Food,3.38E+11,17/01/23,20.0,0.0,620.74,January,2023,Tuesday
2023-01-18,Food,3.38E+11,18/01/23,40.0,0.0,437.74,January,2023,Wednesday
2023-01-18,Food,3.38E+11,18/01/23,60.0,0.0,477.74,January,2023,Wednesday
2023-01-18,Food,3.38E+11,18/01/23,20.0,0.0,537.74,January,2023,Wednesday
2023-01-18,Food,3.02E+11,18/01/23,33.0,0.0,557.74,January,2023,Wednesday
2023-01-18,Food,3.38E+11,18/01/23,10.0,0.0,590.74,January,2023,Wednesday
2023-01-18,Food,3.38E+11,18/01/23,40.0,0.0,397.74,January,2023,Wednesday
2023-01-19,Misc,3.02E+11,19/01/23,0.0,120.0,517.74,January,2023,Thursday
2023-01-19,Misc,3.39E+11,19/01/23,130.0,0.0,387.74,January,2023,Thursday
2023-01-19,Food,3.39E+11,19/01/23,12.0,0.0,345.74,January,2023,Thursday
2023-01-19,Food,3.02E+11,19/01/23,25.0,0.0,320.74,January,2023,Thursday
2023-01-19,Food,3.02E+11,19/01/23,55.0,0.0,265.74,January,2023,Thursday
2023-01-19,Food,3.39E+11,19/01/23,30.0,0.0,357.74,January,2023,Thursday
2023-01-20,Food,3.39E+11,20/01/23,40.0,0.0,123.74,January,2023,Friday
2023-01-20,Misc,3.39E+11,21/01/23,0.0,500.0,623.74,January,2023,Friday
2023-01-20,Food,3.02E+11,20/01/23,20.0,0.0,163.74,January,2023,Friday
2023-01-20,Food,3.39E+11,20/01/23,30.0,0.0,183.74,January,2023,Friday
2023-01-20,Food,3.39E+11,20/01/23,42.0,0.0,213.74,January,2023,Friday
2023-01-20,Food,3.39E+11,20/01/23,10.0,0.0,255.74,January,2023,Friday
2023-01-21,Food,3.39E+11,21/01/23,25.0,0.0,446.74,January,2023,Saturday
2023-01-21,Misc,3.39E+11,21/01/23,200.0,0.0,246.74,January,2023,Saturday
2023-01-21,Food,3.02E+11,21/01/23,30.0,0.0,216.74,January,2023,Saturday
2023-01-21,Misc,3.39E+11,21/01/23,200.0,0.0,16.74,January,2023,Saturday
2023-01-21,Food,3.02E+11,21/01/23,80.0,0.0,501.74,January,2023,Saturday
2023-01-21,Food,3.02E+11,21/01/23,42.0,0.0,581.74,January,2023,Saturday
2023-01-21,Food,3.02E+11,21/01/23,30.0,0.0,471.74,January,2023,Saturday
2023-01-22,Misc,3.02E+11,22/01/23,0.0,2000.0,2016.74,January,2023,Sunday
2023-01-22,Food,3.39E+11,22/01/23,61.0,0.0,1955.74,January,2023,Sunday
2023-01-22,Misc,3.39E+11,22/01/23,115.0,0.0,1840.74,January,2023,Sunday
2023-01-22,Food,3.39E+11,22/01/23,30.0,0.0,1810.74,January,2023,Sunday
2023-01-23,Misc,3.39E+11,23/01/23,0.0,35.0,1632.74,January,2023,Monday
2023-01-23,Food,3.02E+11,23/01/23,15.0,0.0,1795.74,January,2023,Monday
2023-01-23,Food,3.02E+11,23/01/23,33.0,0.0,1762.74,January,2023,Monday
2023-01-23,Food,3.39E+11,23/01/23,65.0,0.0,1697.74,January,2023,Monday
2023-01-23,Food,3.39E+11,23/01/23,30.0,0.0,1667.74,January,2023,Monday
2023-01-23,Food,3.02E+11,23/01/23,70.0,0.0,1597.74,January,2023,Monday
2023-01-23,Food,3.39E+11,23/01/23,30.0,0.0,1602.74,January,2023,Monday
2023-01-24,Food,3.02E+11,24/01/23,75.0,0.0,1417.74,January,2023,Tuesday
2023-01-24,Food,3.39E+11,24/01/23,90.0,0.0,1492.74,January,2023,Tuesday
2023-01-24,Food,3.39E+11,24/01/23,20.0,0.0,1582.74,January,2023,Tuesday
2023-01-24,Food,3.39E+11,24/01/23,50.0,0.0,1347.74,January,2023,Tuesday
2023-01-24,Food,3.02E+11,24/01/23,20.0,0.0,1397.74,January,2023,Tuesday
2023-01-25,Misc,3.39E+11,25/01/23,350.0,0.0,25647.74,January,2023,Wednesday
2023-01-25,Misc,3.39E+11,25/01/23,10000.0,0.0,25997.74,January,2023,Wednesday
2023-01-25,Food,3.39E+11,25/01/23,65.0,0.0,36054.74,January,2023,Wednesday
2023-01-25,Food,3.03E+11,25/01/23,27.0,0.0,36027.74,January,2023,Wednesday
2023-01-25,Food,3.03E+11,25/01/23,30.0,0.0,35997.74,January,2023,Wednesday
2023-01-25,Food,3.03E+11,25/01/23,28.0,0.0,1319.74,January,2023,Wednesday
2023-01-25,Salary,CHASR23023738798,25/01/23,0.0,34800.0,36119.74,January,2023,Wednesday
2023-01-25,Misc,3.39E+11,25/01/23,135.0,0.0,25470.74,January,2023,Wednesday
2023-01-25,Misc,3.39E+11,25/01/23,2.0,0.0,25605.74,January,2023,Wednesday
2023-01-25,Food,3.39E+11,25/01/23,40.0,0.0,25607.74,January,2023,Wednesday
2023-01-26,Misc,3.39E+11,26/01/23,2000.0,0.0,16950.74,January,2023,Thursday
2023-01-26,Misc,3.03E+11,26/01/23,120.0,0.0,25330.74,January,2023,Thursday
2023-01-26,Food,3.03E+11,26/01/23,20.0,0.0,25450.74,January,2023,Thursday
2023-01-26,Misc,3.03E+11,26/01/23,5000.0,0.0,19249.74,January,2023,Thursday
2023-01-26,Shopping,3.03E+11,26/01/23,1081.0,0.0,24249.74,January,2023,Thursday
2023-01-26,Misc,3.39E+11,26/01/23,299.0,0.0,18950.74,January,2023,Thursday
2023-01-26,Food,3.39E+11,26/01/23,163.28,0.0,15787.46,January,2023,Thursday
2023-01-26,Misc,3.39E+11,26/01/23,5000.0,0.0,15950.74,January,2023,Thursday
2023-01-26,Misc,3.39E+11,26/01/23,0.0,5000.0,20950.74,January,2023,Thursday
2023-01-26,Misc,3.03E+11,26/01/23,1000.0,0.0,15950.74,January,2023,Thursday
2023-01-27,Misc,3.03E+11,27/01/23,0.0,7000.0,22477.46,January,2023,Friday
2023-01-27,Food,3.39E+11,27/01/23,70.0,0.0,15405.46,January,2023,Friday
2023-01-27,Food,3.39E+11,27/01/23,40.0,0.0,4937.46,January,2023,Friday
2023-01-27,Food,3.39E+11,27/01/23,80.0,0.0,4857.46,January,2023,Friday
2023-01-27,Misc,3.39E+11,27/01/23,288.0,0.0,15475.46,January,2023,Friday
2023-01-27,Food,3.03E+11,27/01/23,24.0,0.0,15763.46,January,2023,Friday
2023-01-27,Misc,3.39E+11,27/01/23,0.0,72.0,15477.46,January,2023,Friday
2023-01-27,Misc,3.03E+11,27/01/23,17500.0,0.0,4977.46,January,2023,Friday
2023-01-28,Food,3.39E+11,28/01/23,40.0,0.0,3737.46,January,2023,Saturday
2023-01-28,Food,3.39E+11,28/01/23,40.0,0.0,4817.46,January,2023,Saturday
2023-01-28,Food,3.03E+11,28/01/23,40.0,0.0,4777.46,January,2023,Saturday
2023-01-28,Misc,3.03E+11,28/01/23,1000.0,0.0,3777.46,January,2023,Saturday
2023-01-29,Misc,3.40E+11,29/01/23,500.0,0.0,2528.46,January,2023,Sunday
2023-01-29,Food,3.40E+11,29/01/23,20.0,0.0,3717.46,January,2023,Sunday
2023-01-29,Food,3.03E+11,29/01/23,40.0,0.0,3677.46,January,2023,Sunday
2023-01-29,Misc,3.40E+11,29/01/23,149.0,0.0,3528.46,January,2023,Sunday
2023-01-29,Misc,3.03E+11,29/01/23,250.0,0.0,3278.46,January,2023,Sunday
2023-01-29,Misc,3.40E+11,29/01/23,250.0,0.0,3028.46,January,2023,Sunday
2023-01-29,Food,3.40E+11,30/01/23,40.0,0.0,2299.41,January,2023,Sunday
2023-01-29,Food,3.40E+11,29/01/23,189.05,0.0,2339.41,January,2023,Sunday
2023-01-30,Food,3.40E+11,30/01/23,20.0,0.0,2004.41,January,2023,Monday
2023-01-30,Food,3.40E+11,30/01/23,90.0,0.0,2024.41,January,2023,Monday
2023-01-30,Food,3.40E+11,30/01/23,50.0,0.0,2114.41,January,2023,Monday
2023-01-30,Food,3.40E+11,30/01/23,85.0,0.0,2164.41,January,2023,Monday
2023-01-30,Food,3.03E+11,30/01/23,50.0,0.0,2249.41,January,2023,Monday
2023-01-31,Misc,3.40E+11,31/01/23,125.0,0.0,1851.41,January,2023,Tuesday
2023-01-31,Misc,3.03E+11,31/01/23,0.0,10000.0,11811.41,January,2023,Tuesday
2023-01-31,Food,3.40E+11,31/01/23,154.44,0.0,11656.97,January,2023,Tuesday
2023-01-31,Food,3.03E+11,31/01/23,28.0,0.0,1976.41,January,2023,Tuesday
2023-01-31,Food,3.03E+11,31/01/23,40.0,0.0,1811.41,January,2023,Tuesday
2023-02-02,Food,3.40E+11,2/2/2023,20.0,0.0,5730.97,February,2023,Thursday
2023-02-02,Food,3.40E+11,2/2/2023,30.0,0.0,5516.1,February,2023,Thursday
2023-02-02,Food,3.40E+11,2/2/2023,40.0,0.0,5546.1,February,2023,Thursday
2023-02-02,Food,3.03E+11,2/2/2023,144.87,0.0,5586.1,February,2023,Thursday
2023-02-02,Misc,3.40E+11,2/2/2023,170.0,0.0,5346.1,February,2023,Thursday
2023-02-02,Rent,3.03E+11,2/2/2023,5776.0,0.0,5750.97,February,2023,Thursday
2023-02-03,Food,3.43E+11,2/3/2023,50.0,0.0,11618.89,February,2023,Friday
2023-02-03,Food,3.43E+11,2/3/2023,30.0,0.0,11088.89,February,2023,Friday
2023-02-03,Food,3.43E+11,2/3/2023,28.0,0.0,11778.89,February,2023,Friday
2023-02-03,Misc,3.43E+11,2/3/2023,110.0,0.0,11668.89,February,2023,Friday
2023-02-03,Misc,3.43E+11,2/3/2023,500.0,0.0,11118.89,February,2023,Friday
2023-02-04,Misc,3.46E+11,2/4/2023,1200.0,0.0,4445.79,February,2023,Saturday
2023-02-04,Misc,3.09E+11,2/4/2023,150.0,0.0,5645.79,February,2023,Saturday
2023-02-04,Food,3.46E+11,2/4/2023,32.0,0.0,5795.79,February,2023,Saturday
2023-02-05,Food,3.49E+11,2/5/2023,30.0,0.0,5485.17,February,2023,Sunday
2023-02-05,Food,3.49E+11,2/5/2023,45.0,0.0,5515.17,February,2023,Sunday
2023-02-05,Misc,3.49E+11,2/5/2023,0.0,75.0,5560.17,February,2023,Sunday
2023-02-05,Misc,3.49E+11,2/5/2023,150.0,0.0,5485.17,February,2023,Sunday
2023-02-05,Food,3.12E+11,2/5/2023,10.0,0.0,5635.17,February,2023,Sunday
2023-02-05,Food,3.49E+11,2/5/2023,50.0,0.0,5645.17,February,2023,Sunday
2023-02-05,Food,3.49E+11,2/5/2023,260.35,0.0,5695.17,February,2023,Sunday
2023-02-05,Misc,3.49E+11,3/5/2023,1391.16,0.0,4094.01,February,2023,Sunday
2023-02-06,Food,3.52E+11,2/6/2023,30.0,0.0,8607.96,February,2023,Monday
2023-02-06,Misc,3.52E+11,2/6/2023,160.0,0.0,8447.96,February,2023,Monday
2023-02-06,Food,3.52E+11,2/6/2023,90.0,0.0,8357.96,February,2023,Monday
2023-02-07,Misc,3.18E+11,1/7/2023,0.0,10.0,1009.85,February,2023,Tuesday
2023-02-08,Misc,3.21E+11,2/8/2023,0.0,2000.0,9240.62,February,2023,Wednesday
2023-02-08,Rent,3.21E+11,2/8/2023,7459.0,0.0,1781.62,February,2023,Wednesday
2023-02-08,Food,3.21E+11,2/8/2023,24.0,0.0,415.62,February,2023,Wednesday
2023-02-08,Misc,3.21E+11,2/8/2023,999.0,0.0,539.62,February,2023,Wednesday
2023-02-08,Food,3.21E+11,2/8/2023,10.0,0.0,529.62,February,2023,Wednesday
2023-02-08,Food,3.21E+11,2/8/2023,90.0,0.0,439.62,February,2023,Wednesday
2023-02-08,Misc,3.21E+11,2/8/2023,6.0,0.0,409.62,February,2023,Wednesday
2023-02-08,Misc,3.21E+11,2/8/2023,140.0,0.0,269.62,February,2023,Wednesday
2023-02-08,Misc,3.21E+11,2/8/2023,243.0,0.0,1538.62,February,2023,Wednesday
2023-02-08,Food,3.21E+11,2/8/2023,30.0,0.0,239.62,February,2023,Wednesday
2023-02-09,Food,3.61E+11,2/9/2023,188.2,0.0,4169.66,February,2023,Thursday
2023-02-09,Food,3.25E+11,2/9/2023,50.0,0.0,4119.66,February,2023,Thursday
2023-02-09,Food,3.61E+11,2/9/2023,136.76,0.0,3982.9,February,2023,Thursday
2023-02-09,Food,3.25E+11,2/9/2023,0.0,136.76,4119.66,February,2023,Thursday
2023-02-10,Food,3.28E+11,2/10/2023,49.0,0.0,1513.32,February,2023,Friday
2023-02-10,Misc,3.28E+11,2/10/2023,470.0,0.0,933.32,February,2023,Friday
2023-02-10,Food,3.28E+11,2/10/2023,49.0,0.0,1592.32,February,2023,Friday
2023-02-10,Food,3.27E+11,2/10/2023,10.0,0.0,1641.32,February,2023,Friday
2023-02-10,Food,3.64E+11,2/10/2023,30.0,0.0,1562.32,February,2023,Friday
2023-02-10,Food,3.28E+11,2/10/2023,80.0,0.0,1433.32,February,2023,Friday
2023-02-10,Food,3.28E+11,2/10/2023,30.0,0.0,1403.32,February,2023,Friday
2023-02-11,Misc,3.31E+11,2/11/2023,0.0,1000.0,1000.15,February,2023,Saturday
2023-02-11,Misc,3.67E+11,2/11/2023,1000.0,0.0,0.15,February,2023,Saturday
2023-02-11,Misc,3.31E+11,2/11/2023,0.0,1000.0,1000.15,February,2023,Saturday
2023-02-11,Misc,3.67E+11,2/11/2023,1000.0,0.0,0.15,February,2023,Saturday
2023-02-12,Misc,3.34E+11,2/12/2023,200.0,0.0,694.97,February,2023,Sunday
2023-02-13,Food,3.41E+11,13/02/23,40.0,0.0,790.84,February,2023,Monday
2023-02-13,Food,3.04E+11,13/02/23,40.0,0.0,1071.54,February,2023,Monday
2023-02-13,Food,3.41E+11,13/02/23,173.7,0.0,897.84,February,2023,Monday
2023-02-13,Food,3.04E+11,13/02/23,67.0,0.0,830.84,February,2023,Monday
2023-02-14,Food,3.05E+11,14/02/23,60.0,0.0,448.39,February,2023,Tuesday
2023-02-14,Food,3.05E+11,14/02/23,242.45,0.0,508.39,February,2023,Tuesday
2023-02-14,Food,3.41E+11,14/02/23,40.0,0.0,750.84,February,2023,Tuesday
2023-02-15,Misc,3.05E+11,15/02/23,130.0,0.0,130.39,February,2023,Wednesday
2023-02-15,Food,3.05E+11,15/02/23,148.0,0.0,260.39,February,2023,Wednesday
2023-02-15,Food,3.05E+11,15/02/23,40.0,0.0,408.39,February,2023,Wednesday
2023-02-16,Food,3.05E+11,16/02/23,30.0,0.0,100.39,February,2023,Thursday
2023-02-16,Food,3.41E+11,16/02/23,40.0,0.0,60.39,February,2023,Thursday
2023-02-16,Misc,3.05E+11,16/02/23,0.0,80.0,140.39,February,2023,Thursday
2023-02-16,Food,3.05E+11,16/02/23,100.0,0.0,40.39,February,2023,Thursday
2023-02-16,Misc,3.41E+11,16/02/23,0.0,1500.0,1540.39,February,2023,Thursday
2023-02-17,Food,3.41E+11,17/02/23,30.0,0.0,1390.39,February,2023,Friday
2023-02-17,Food,3.41E+11,17/02/23,65.0,0.0,1420.39,February,2023,Friday
2023-02-17,Food,3.41E+11,17/02/23,70.0,0.0,1320.39,February,2023,Friday
2023-02-17,Food,3.05E+11,17/02/23,50.0,0.0,1270.39,February,2023,Friday
2023-02-17,Food,3.05E+11,17/02/23,30.0,0.0,1485.39,February,2023,Friday
2023-02-17,Food,3.41E+11,17/02/23,30.0,0.0,765.39,February,2023,Friday
2023-02-17,Misc,3.05E+11,17/02/23,5.0,0.0,1535.39,February,2023,Friday
2023-02-17,Misc,3.05E+11,17/02/23,475.0,0.0,795.39,February,2023,Friday
2023-02-17,Food,3.41E+11,17/02/23,20.0,0.0,1515.39,February,2023,Friday
2023-02-18,Food,3.05E+11,18/02/23,60.0,0.0,695.39,February,2023,Saturday
2023-02-18,Food,3.42E+11,18/02/23,20.0,0.0,675.39,February,2023,Saturday
2023-02-18,Food,3.42E+11,18/02/23,20.0,0.0,585.39,February,2023,Saturday
2023-02-18,Food,3.42E+11,18/02/23,70.0,0.0,605.39,February,2023,Saturday
2023-02-18,Food,3.42E+11,18/02/23,10.0,0.0,755.39,February,2023,Saturday
2023-02-19,Misc,3.05E+11,19/02/23,150.5,0.0,434.89,February,2023,Sunday
2023-02-19,Misc,3.05E+11,19/02/23,136.0,0.0,298.89,February,2023,Sunday
2023-02-19,Misc,3.42E+11,19/02/23,8.0,0.0,290.89,February,2023,Sunday
2023-02-19,Food,3.05E+11,19/02/23,67.0,0.0,223.89,February,2023,Sunday
2023-02-19,Food,3.05E+11,19/02/23,100.0,0.0,123.89,February,2023,Sunday
2023-02-19,Food,3.42E+11,19/02/23,40.0,0.0,83.89,February,2023,Sunday
2023-02-20,Food,3.42E+11,20/02/23,20.0,0.0,458.89,February,2023,Monday
2023-02-20,Food,3.42E+11,20/02/23,40.0,0.0,43.89,February,2023,Monday
2023-02-20,Misc,3.42E+11,20/02/23,0.0,500.0,543.89,February,2023,Monday
2023-02-20,Food,3.05E+11,20/02/23,65.0,0.0,478.89,February,2023,Monday
2023-02-20,Food,3.05E+11,20/02/23,45.0,0.0,413.89,February,2023,Monday
2023-02-21,Food,3.05E+11,21/02/23,35.0,0.0,225.89,February,2023,Tuesday
2023-02-21,Food,3.05E+11,21/02/23,50.0,0.0,260.89,February,2023,Tuesday
2023-02-21,Food,3.42E+11,21/02/23,30.0,0.0,310.89,February,2023,Tuesday
2023-02-21,Food,3.42E+11,21/02/23,33.0,0.0,380.89,February,2023,Tuesday
2023-02-21,Food,3.05E+11,21/02/23,40.0,0.0,340.89,February,2023,Tuesday
2023-02-22,Misc,3.42E+11,22/02/23,0.0,6000.0,6225.89,February,2023,Wednesday
2023-02-22,Misc,3.05E+11,22/02/23,5500.0,0.0,725.89,February,2023,Wednesday
2023-02-22,Food,3.42E+11,22/02/23,50.0,0.0,675.89,February,2023,Wednesday
2023-02-22,Food,3.42E+11,22/02/23,35.0,0.0,640.89,February,2023,Wednesday
2023-02-22,Food,3.05E+11,22/02/23,50.0,0.0,590.89,February,2023,Wednesday
2023-02-22,Food,3.05E+11,22/02/23,42.0,0.0,548.89,February,2023,Wednesday
2023-02-23,Food,3.05E+11,23/02/23,40.0,0.0,488.89,February,2023,Thursday
2023-02-23,Misc,3.42E+11,23/02/23,400.0,0.0,88.89,February,2023,Thursday
2023-02-23,Food,3.05E+11,23/02/23,30.0,0.0,58.89,February,2023,Thursday
2023-02-23,Food,3.05E+11,23/02/23,40.0,0.0,18.89,February,2023,Thursday
2023-02-23,Food,3.42E+11,23/02/23,20.0,0.0,528.89,February,2023,Thursday
2023-02-24,Food,3.42E+11,24/02/23,75.0,0.0,33654.89,February,2023,Friday
2023-02-24,Food,3.42E+11,24/02/23,12.0,0.0,33000.89,February,2023,Friday
2023-02-24,Misc,3.42E+11,24/02/23,180.0,0.0,33729.89,February,2023,Friday
2023-02-24,Misc,3.06E+11,24/02/23,642.0,0.0,33012.89,February,2023,Friday
2023-02-24,Misc,3.06E+11,24/02/23,799.0,0.0,33909.89,February,2023,Friday
2023-02-24,Food,3.06E+11,24/02/23,40.0,0.0,34708.89,February,2023,Friday
2023-02-24,Salary,CHASS23053481613,24/02/23,0.0,34800.0,34818.89,February,2023,Friday
2023-02-24,Food,3.06E+11,24/02/23,70.0,0.0,34748.89,February,2023,Friday
2023-02-25,Misc,3.42E+11,25/02/23,4003.0,0.0,20262.89,February,2023,Saturday
2023-02-25,Misc,3.42E+11,25/02/23,0.0,2000.0,24265.89,February,2023,Saturday
2023-02-25,Food,3.42E+11,25/02/23,25.0,0.0,22265.89,February,2023,Saturday
2023-02-25,Food,3.42E+11,25/02/23,40.0,0.0,22790.89,February,2023,Saturday
2023-02-25,Food,3.42E+11,25/02/23,10.0,0.0,22830.89,February,2023,Saturday
2023-02-25,Food,3.42E+11,25/02/23,20.0,0.0,22840.89,February,2023,Saturday
2023-02-25,Misc,3.42E+11,25/02/23,500.0,0.0,22290.89,February,2023,Saturday
2023-02-25,Misc,3.42E+11,25/02/23,10000.0,0.0,23000.89,February,2023,Saturday
2023-02-25,Misc,3.06E+11,25/02/23,140.0,0.0,22860.89,February,2023,Saturday
2023-02-26,Shopping,3.42E+11,26/02/23,429.0,0.0,17896.89,February,2023,Sunday
