,UPI Banks,Volume of Costumers(in Millions),Value of Transactions,Volume in Million,Value (Cr),Month,Year
405,UCO Bank App,0.16,35.05,0.16,35.05,2,2022
153,Fino Payments bank App,0.03,3.25,0.03,3.25,2,2022
125,Deutsche Bank App,0.87,70.43,0.87,70.43,2,2022
200,ICICI Bank Apps,27.39,8537.11,30.66,8727.44,2,2022
221,India Post Payments Bank App,2.21,268.9,2.21,268.9,2,2022
122,Dena Bank App,0.02,23.93,0.02,23.93,2,2022
446,YuvaPay,0.05,89.7,0.05,89.7,2,2022
372,South Indian Bank App,0.12,38.69,0.12,38.69,2,2022
365,Samsung Pay,3.14,421.97,3.14,421.97,2,2022
94,City Union Bank App,0.02,5.49,0.02,5.49,2,2022
274,Karnataka Bank App,0.25,31.35,0.25,31.35,2,2022
302,MI Pay,0.25,38.46,0.25,38.46,2,2022
295,MakeMy Trip,0.08,33.03,0.08,33.03,2,2022
309,Mobikwik,3.78,755.89,3.78,755.89,2,2022
281,Karur Vysya Bank App,0.04,17.17,0.04,17.17,2,2022
14,Amazon Pay,63.49,6044.47,63.49,6044.47,2,2022
66,BHIM,23.25,7891.86,23.25,7891.86,2,2022
207,IDBI Bank App,0.02,14.6,0.02,14.6,2,2022
1,Airtel Payments Bank Apps,5.8,1199.46,7.58,2210.17,2,2022
255,Janta Sahakari Bank App,0.01,4.33,0.01,4.33,2,2022
323,Others,0.02,8.15,0.02,8.15,2,2022
425,Utkarsh Small Finance Bank,0.01,2.42,0.01,2.42,2,2022
59,Bank of Maharashtra App,0.05,12.49,0.05,12.49,2,2022
193,HSBC Bank App,0.08,52.94,0.08,52.97,2,2022
186,HDFC Bank Apps,4.59,1370.03,4.59,1370.03,2,2022
73,Canara Bank App,0.26,95.78,0.26,95.78,2,2022
257,Jio Payments Bank App,1.97,111.85,1.97,111.85,2,2022
337,PhonePe,2120.2,407640.11,2120.2,407640.11,2,2022
316,NSDL Payments Bank App,0.02,1.77,0.02,1.77,2,2022
247,Jammu and Kashmir Bank App,0.01,3.43,0.01,3.43,2,2022
386,State Bank of India Apps,3.38,1863.42,3.38,1863.42,2,2022
52,Bank of India App,0.05,21.28,0.05,21.28,2,2022
80,Central Bank of India App,0.12,45.26,0.12,45.26,2,2022
45,Bank of Baroda Apps,0.67,330.69,0.67,330.69,2,2022
21,AU Small Finance Bank App,0.25,89.36,0.25,89.36,2,2022
379,Standard Chartered Bank App,0.12,64.7,0.12,64.7,2,2022
87,Citi Bank App,0.08,69.22,0.08,69.22,2,2022
432,WhatsApp,2.24,207.09,2.24,207.09,2,2022
174,Google Pay,1524.09,291273.46,1524.09,291273.46,2,2022
419,Union Bank Apps,0.35,166.72,0.35,166.72,2,2022
9,Allahabad Bank Apps,0.02,6.15,0.02,6.15,3,2022
15,Amazon Pay,76.34,6894.78,76.34,6894.78,3,2022
447,YuvaPay,0.06,105.39,0.06,105.39,3,2022
194,HSBC Bank Apps,0.1,61.85,0.1,62.0,3,2022
147,Federal Bank Apps,2.45,360.96,2.45,360.96,3,2022
380,Standard Chartered Bank Apps,0.13,69.84,0.13,69.84,3,2022
222,India Post Payments Bank Apps,2.95,321.14,2.95,321.14,3,2022
392,SuperPay,0.1,0.64,0.1,0.64,3,2022
282,Karur Vysya Bank Apps,0.04,18.29,0.04,18.29,3,2022
159,Finserv Markets,0.03,1.49,0.03,1.49,3,2022
373,South Indian Bank Apps,0.13,44.63,0.13,44.63,3,2022
289,Kotak Mahindra Bank Apps,7.92,1587.51,7.92,1587.51,3,2022
187,HDFC Bank Apps,5.45,1624.54,5.45,1624.54,3,2022
164,Finshell Pay,0.08,4.0,0.08,4.0,3,2022
208,IDBI Bank Apps,0.03,16.25,0.03,16.25,3,2022
180,Groww,0.83,472.71,0.83,472.71,3,2022
215,IDFC Bank Apps,2.7,534.56,2.7,534.56,3,2022
168,GoIbibo,0.02,5.91,0.02,5.91,3,2022
387,State Bank of India Apps,4.01,2130.56,4.01,2130.56,3,2022
275,Karnataka Bank Apps,0.3,37.96,0.3,37.96,3,2022
175,Google Pay,1838.12,338873.25,1838.12,338873.25,3,2022
350,Punjab Sind Bank Apps,0.01,3.8,0.01,3.8,3,2022
154,Fino Payments bank Apps,0.04,3.47,0.04,3.47,3,2022
22,AU Small Finance Bank Apps,0.29,104.48,0.29,104.48,3,2022
263,Jupiter,1.32,164.8,1.32,164.8,3,2022
331,Paytm Payments Bank App,729.63,83840.44,837.14,95650.36,3,2022
36,Bajaj Finserv,0.35,24.08,0.35,24.08,3,2022
229,Indian Bank Apps,0.11,42.26,0.11,42.26,3,2022
88,Citi Bank Apps,0.11,68.41,0.11,68.41,3,2022
420,Union Bank Apps,0.41,197.01,0.41,197.01,3,2022
310,Mobikwik,3.6,739.25,3.6,739.25,3,2022
248,Jammu and Kashmir Bank Apps,0.01,2.15,0.01,2.15,3,2022
81,Central Bank of India Apps,0.14,50.67,0.14,50.67,3,2022
249,Janata Sahakari Bank Apps,0.01,4.51,0.01,4.51,3,2022
74,Canara Bank Apps,0.31,109.68,0.31,109.68,3,2022
95,City Union Bank Apps,0.03,7.3,0.03,7.3,3,2022
338,PhonePe,2527.15,471401.26,2527.15,471401.26,3,2022
67,BHIM,24.88,8050.24,24.88,8050.24,3,2022
433,WhatsApp,2.54,239.78,2.54,239.78,3,2022
426,Utkarsh Small Finance Bank Apps,0.01,3.9,0.01,3.9,3,2022
258,Jio Payments Bank Apps,2.27,129.5,2.27,129.5,3,2022
60,Bank of Maharashtra Apps,0.05,15.0,0.05,15.0,3,2022
317,NSDL Payments Bank Apps,0.02,2.28,0.02,2.28,3,2022
359,RBL Bank Apps,0.46,126.74,0.46,126.75,3,2022
53,Bank of India Apps,0.08,26.22,0.08,26.22,3,2022
46,Bank of Baroda Apps,0.69,328.61,0.69,328.61,3,2022
2,Airtel Payments Bank Apps,8.33,1934.41,13.16,4492.25,3,2022
102,Cointab,0.08,33.22,0.08,33.22,3,2022
201,ICICI Bank Apps,31.49,10304.08,35.13,10538.69,3,2022
296,MakeMyTrip,0.1,47.1,0.1,47.1,3,2022
126,Deutsche Bank Apps,1.02,91.66,1.02,93.02,3,2022
123,Dena Bank Apps,0.02,29.32,0.02,29.32,3,2022
29,Axis Bank Apps,7.09,1045.13,61.29,1084.94,3,2022
133,Dhanlaxmi Bank Apps,0.01,3.29,0.01,3.29,3,2022
234,Indian Overseas Bank Apps,0.01,1.62,0.01,1.62,3,2022
366,Samsung Pay,3.73,473.5,3.73,473.5,3,2022
406,UCO Bank Apps,0.19,40.88,0.19,40.88,3,2022
116,DBS Digibank Apps,0.49,185.52,0.49,185.52,3,2022
345,Punjab National Bank Apps,0.09,46.64,0.09,46.64,3,2022
324,Others,0.02,8.11,0.02,8.11,3,2022
303,MI Pay,0.24,36.02,0.24,36.02,3,2022
440,Yes Bank Apps,35.25,8746.74,35.25,8746.74,3,2022
241,IndusInd Bank Apps,1.03,2252.3,1.03,2252.3,3,2022
109,Cred,12.11,16136.11,12.11,16136.11,3,2022
413,Ultracash,0.03,1.12,0.03,1.12,3,2022
140,Fave,0.37,13.0,0.37,13.0,3,2022
367,Samsung Pay,3.81,470.11,3.81,470.11,4,2022
264,Jupiter,1.47,186.13,1.47,186.13,4,2022
259,Jio Payments Bank Apps,2.1,126.25,2.1,126.25,4,2022
202,ICICI Bank Apps,32.82,9086.72,37.65,9356.17,4,2022
268,Jupiter Edge (LivQuick PPI App),0.01,0.43,0.01,0.43,4,2022
360,RBL Bank Apps,0.3,113.65,0.3,113.65,4,2022
235,Indian Overseas Bank Apps,0.01,1.52,0.01,1.52,4,2022
242,IndusInd Bank Apps,1.02,2596.71,1.02,2596.71,4,2022
3,Airtel Payments Bank Apps,5.29,454.64,5.3,460.9,4,2022
209,IDBI Bank Apps,0.03,16.78,0.03,16.78,4,2022
276,Karnataka Bank Apps,0.27,35.58,0.27,35.58,4,2022
250,Janata Sahakari Bank Apps,0.01,4.28,0.01,4.28,4,2022
448,YuvaPay,0.06,103.34,0.06,103.34,4,2022
374,South Indian Bank Apps,0.13,45.03,0.13,45.03,4,2022
216,IDFC Bank Apps,2.49,532.69,2.49,532.69,4,2022
223,India Post Payments Bank Apps,2.8,328.53,2.8,328.53,4,2022
230,Indian Bank Apps,0.14,49.9,0.14,49.9,4,2022
339,PhonePe,2616.26,486557.03,2616.26,486557.03,4,2022
346,Punjab National Bank Apps,0.09,46.27,0.09,46.27,4,2022
16,Amazon Pay,73.21,6699.57,73.21,6699.57,4,2022
134,Dhanlaxmi Bank Apps,0.01,3.02,0.01,3.02,4,2022
127,Deutsche Bank Apps,1.51,128.13,1.51,128.43,4,2022
407,UCO Bank Apps,0.21,41.48,0.21,41.48,4,2022
30,Axis Bank Apps,7.19,1213.44,64.03,1257.15,4,2022
117,DBS Digibank Apps,0.47,175.45,0.47,175.45,4,2022
304,MI Pay,0.19,28.58,0.19,28.58,4,2022
110,Cred,13.05,16372.92,13.05,16372.92,4,2022
103,Cointab,0.07,28.5,0.07,28.5,4,2022
414,Ultracash,0.03,2.22,0.03,2.22,4,2022
96,City Union Bank Apps,0.03,8.41,0.03,8.41,4,2022
37,Bajaj Finserv,0.52,38.61,0.52,38.61,4,2022
89,Citi Bank Apps,0.08,66.03,0.08,66.03,4,2022
82,Central Bank of India Apps,0.13,51.04,0.13,51.04,4,2022
421,Union Bank Apps,0.42,198.34,0.42,198.34,4,2022
311,Mobikwik,2.37,421.47,2.37,421.47,4,2022
75,Canara Bank Apps,0.31,110.31,0.31,110.31,4,2022
434,WhatsApp,2.5,242.4,2.5,242.4,4,2022
68,BHIM,25.69,8354.34,25.69,8354.34,4,2022
427,Utkarsh Small Finance Bank Apps,0.01,3.88,0.01,3.88,4,2022
61,Bank of Maharashtra Apps,0.05,14.56,0.05,14.56,4,2022
318,NSDL Payments Bank Apps,0.02,2.32,0.02,2.32,4,2022
54,Bank of India Apps,0.1,32.62,0.1,32.62,4,2022
297,MakeMyTrip,0.09,41.18,0.09,41.18,4,2022
141,Fave,0.18,7.73,0.18,7.73,4,2022
155,Fino Payments bank Apps,0.04,3.26,0.04,3.26,4,2022
441,Yes Bank Apps,34.07,10246.99,34.07,10246.99,4,2022
195,HSBC Bank Apps,0.11,59.7,0.11,59.72,4,2022
381,Standard Chartered Bank Apps,0.12,68.15,0.12,68.15,4,2022
188,HDFC Bank Apps,5.9,1759.12,5.9,1759.12,4,2022
283,Karur Vysya Bank Apps,0.04,18.54,0.04,18.54,4,2022
181,Groww,0.61,376.18,0.61,376.18,4,2022
351,Punjab Sind Bank Apps,0.01,5.38,0.01,5.38,4,2022
176,Google Pay,1914.77,344791.35,1914.77,344791.35,4,2022
388,State Bank of India Apps,4.03,2118.0,4.03,2118.0,4,2022
169,GoIbibo,0.01,3.31,0.01,3.31,4,2022
398,TataNeu,0.35,32.82,0.35,32.82,4,2022
165,Finshell Pay,0.08,4.45,0.08,4.45,4,2022
23,AU Small Finance Bank Apps,0.32,109.89,0.32,109.89,4,2022
332,Paytm Payments Bank App,740.76,85918.88,851.61,101649.06,4,2022
393,SuperPay,0.02,0.4,0.02,0.4,4,2022
290,Kotak Mahindra Bank Apps,7.96,1684.35,7.96,1684.35,4,2022
47,Bank of Baroda Apps,0.77,344.65,0.77,344.65,4,2022
325,Others,0.02,8.26,0.02,8.26,4,2022
394,Tamilnad Mercantile Bank Apps,0.01,0.26,0.01,0.26,4,2022
160,Finserv Markets,0.01,1.06,0.01,1.06,4,2022
148,Federal Bank Apps,2.7,375.64,2.7,375.64,4,2022
305,MI Pay,0.2,33.9,0.2,33.9,5,2022
319,NSDL Payments Bank Apps,0.02,2.39,0.02,2.39,5,2022
277,Karnataka Bank Apps,0.33,40.34,0.33,40.34,5,2022
298,MakeMyTrip,0.09,43.26,0.09,43.26,5,2022
347,Punjab National Bank Apps,0.09,43.77,0.09,43.77,5,2022
291,Kotak Mahindra Bank Apps,8.5,1882.81,8.5,1885.0,5,2022
340,PhonePe,2778.75,511028.81,2778.75,511028.81,5,2022
265,Jupiter,1.79,215.44,1.79,215.44,5,2022
312,Mobikwik,2.46,397.7,2.46,397.7,5,2022
269,Jupiter Edge (LivQuick PPI),0.1,5.74,0.1,5.74,5,2022
326,Others,0.03,10.7,0.03,10.7,5,2022
284,Karur Vysya Bank Apps,0.04,17.69,0.04,17.69,5,2022
352,Punjab Sind Bank Apps,0.01,6.39,0.01,6.39,5,2022
166,Finshell Pay,0.09,4.68,0.09,4.68,5,2022
361,RBL Bank Apps,0.32,124.01,0.38,125.39,5,2022
260,Jio Payments Bank Apps,2.08,127.88,2.08,127.88,5,2022
128,Deutsche Bank Apps,1.64,116.54,1.64,116.55,5,2022
408,UCO Bank Apps,0.22,46.39,0.22,46.39,5,2022
118,DBS Digibank Apps,0.47,186.33,0.47,186.33,5,2022
111,Cred,13.89,18174.61,13.89,18174.61,5,2022
104,Cointab,0.06,23.77,0.06,23.77,5,2022
415,Ultracash,0.05,4.4,0.05,4.4,5,2022
97,City Union Bank Apps,0.03,10.06,0.03,10.06,5,2022
90,Citi Bank Apps,0.13,78.71,0.13,78.71,5,2022
83,Central Bank of India Apps,0.15,55.4,0.15,55.4,5,2022
422,Union Bank Apps,0.45,211.85,0.45,211.85,5,2022
76,Canara Bank Apps,0.33,114.09,0.33,114.09,5,2022
399,TataNeu,0.22,30.33,0.22,30.33,5,2022
69,BHIM,26.57,9559.66,26.57,9559.66,5,2022
428,Utkarsh Small Finance Bank Apps,0.01,4.43,0.01,4.43,5,2022
55,Bank of India Apps,0.12,40.04,0.12,40.04,5,2022
48,Bank of Baroda Apps,0.88,406.79,0.88,406.79,5,2022
435,WhatsApp,3.48,294.98,3.48,294.98,5,2022
38,Bajaj Finserv,0.79,58.53,0.79,58.53,5,2022
31,Axis Bank Apps,7.46,1372.31,58.66,1425.16,5,2022
442,Yes Bank Apps,38.19,10760.55,39.69,11760.16,5,2022
24,AU Small Finance Bank Apps,0.35,107.22,0.35,107.22,5,2022
17,Amazon Pay,74.83,6954.18,74.83,6954.18,5,2022
10,Allahabad Bank Apps,0.02,6.25,0.02,6.25,5,2022
449,YuvaPay,0.04,88.95,0.04,88.95,5,2022
4,Airtel Payments Bank Apps,6.1,486.55,6.11,486.62,5,2022
62,Bank of Maharashtra Apps,0.06,16.47,0.06,16.47,5,2022
142,Fave,0.1,6.12,0.1,6.12,5,2022
135,Dhanlaxmi Bank Apps,0.01,3.35,0.01,3.35,5,2022
149,Federal Bank Apps,3.42,474.12,3.42,474.12,5,2022
251,Janata Sahakari Bank Apps,0.01,4.79,0.01,4.79,5,2022
243,IndusInd Bank Apps,1.01,1711.21,1.01,1711.21,5,2022
236,Indian Overseas Bank Apps,0.01,2.35,0.01,2.35,5,2022
368,Samsung Pay,4.11,490.3,4.11,490.3,5,2022
231,Indian Bank Apps,0.16,53.11,0.16,53.13,5,2022
224,India Post Payments Bank Apps,3.1,351.88,3.1,351.88,5,2022
217,IDFC Bank Apps,4.75,626.34,4.75,626.34,5,2022
375,South Indian Bank Apps,0.14,49.73,0.14,49.73,5,2022
210,IDBI Bank Apps,0.03,18.48,0.03,18.48,5,2022
203,ICICI Bank Apps,32.75,9221.65,37.59,11056.9,5,2022
196,HSBC Bank Apps,0.1,63.07,0.1,63.17,5,2022
382,Standard Chartered Bank Apps,0.13,70.48,0.13,70.48,5,2022
189,HDFC Bank Apps,6.95,1981.11,6.95,1981.11,5,2022
333,Paytm Payments Bank App,780.87,91546.5,887.45,108276.78,5,2022
182,Groww,0.51,335.28,0.51,335.28,5,2022
177,Google Pay,2079.92,365989.27,2079.92,365989.27,5,2022
389,State Bank of India Apps,4.18,2195.66,4.18,2195.66,5,2022
170,GoIbibo,0.01,2.41,0.01,2.41,5,2022
395,Tamilnad Mercantile Bank Apps,0.01,1.13,0.01,1.13,5,2022
156,Fino Payments bank Apps,0.04,3.83,0.04,3.83,5,2022
161,Finserv Markets,0.01,1.01,0.01,1.01,5,2022
416,Ultracash,0.03,3.32,0.03,3.32,6,2022
348,Punjab National Bank Apps,0.08,40.68,0.08,40.68,6,2022
362,RBL Bank Apps,0.35,121.0,0.42,123.89,6,2022
400,TataNeu,0.12,19.41,0.12,19.41,6,2022
402,TJSB Bank Apps,0.01,2.1,0.01,2.1,6,2022
443,Yes Bank Apps,41.67,9889.56,44.03,11147.17,6,2022
369,Samsung Pay,4.07,468.23,4.07,468.23,6,2022
390,State Bank of India Apps,3.83,1947.1,3.83,1947.1,6,2022
383,Standard Chartered Bank Apps,0.13,69.13,0.13,69.13,6,2022
409,UCO Bank Apps,0.22,42.3,0.22,42.3,6,2022
429,Utkarsh Small Finance Bank Apps,0.01,3.47,0.01,3.47,6,2022
376,South Indian Bank Apps,0.14,46.66,0.14,46.66,6,2022
353,Punjab Sind Bank Apps,0.01,5.93,0.01,5.93,6,2022
396,Tamilnad Mercantile Bank Apps,0.03,4.02,0.03,4.02,6,2022
341,PhonePe,2732.59,501474.48,2732.59,501474.48,6,2022
436,WhatsApp,23.04,429.06,23.04,429.06,6,2022
423,Union Bank Apps,0.45,199.8,0.45,199.8,6,2022
225,India Post Payments Bank Apps,3.98,467.34,3.98,467.34,6,2022
157,Fino Payments bank Apps,0.05,3.17,0.05,3.17,6,2022
49,Bank of Baroda Apps,0.83,347.72,0.83,347.72,6,2022
232,Indian Bank Apps,0.17,53.3,0.17,53.68,6,2022
56,Bank of India Apps,0.13,41.82,0.13,41.82,6,2022
218,IDFC Bank Apps,7.03,663.65,7.03,663.65,6,2022
211,IDBI Bank Apps,0.03,15.71,0.03,15.71,6,2022
63,Bank of Maharashtra Apps,0.06,15.77,0.06,15.77,6,2022
204,ICICI Bank Apps,35.25,6931.44,39.37,10202.14,6,2022
70,BHIM,22.6,7527.98,22.6,7527.98,6,2022
197,HSBC Bank Apps,0.11,61.38,0.11,61.39,6,2022
190,HDFC Bank Apps,8.24,2066.22,8.24,2066.22,6,2022
77,Canara Bank Apps,0.34,109.78,0.34,109.78,6,2022
183,Groww,0.72,416.73,0.72,416.73,6,2022
237,Indian Overseas Bank Apps,0.01,2.98,0.01,2.98,6,2022
178,Google Pay,2025.89,355137.2,2025.89,355137.2,6,2022
171,GoIbibo,0.01,3.87,0.01,3.87,6,2022
167,Finshell Pay,0.1,5.3,0.1,5.3,6,2022
91,Citi Bank Apps,0.13,63.54,0.13,63.54,6,2022
334,Paytm Payments Bank App,778.87,89388.78,877.5,102119.9,6,2022
150,Federal Bank Apps,3.55,494.21,3.55,494.21,6,2022
98,City Union Bank Apps,0.03,8.72,0.03,8.72,6,2022
143,Fave,0.12,6.94,0.12,6.94,6,2022
138,Equitas Small Finance Bank Apps,0.01,3.87,0.01,3.87,6,2022
105,Cointab,0.06,23.99,0.06,23.99,6,2022
112,Cred,13.4,17583.25,13.4,17583.25,6,2022
136,Dhanlaxmi Bank Apps,0.01,2.7,0.01,2.7,6,2022
129,Deutsche Bank Apps,1.51,99.12,1.51,99.12,6,2022
84,Central Bank of India Apps,0.15,54.06,0.15,54.06,6,2022
244,IndusInd Bank Apps,1.0,1645.13,1.0,1645.13,6,2022
450,YuvaPay,0.03,58.31,0.03,58.31,6,2022
119,DBS Digibank Apps,0.46,171.69,0.46,171.69,6,2022
292,Kotak Mahindra Bank Apps,8.33,1758.64,8.33,1762.28,6,2022
25,AU Small Finance Bank Apps,0.38,120.24,0.38,120.24,6,2022
18,Amazon Pay,68.4,6541.84,68.4,6541.84,6,2022
285,Karur Vysya Bank Apps,0.04,15.91,0.04,15.91,6,2022
32,Axis Bank Apps,6.96,1217.71,52.6,1268.38,6,2022
313,Mobikwik,2.31,404.63,2.31,404.63,6,2022
278,Karnataka Bank Apps,0.32,43.13,0.32,43.13,6,2022
299,MakeMyTrip,0.11,51.45,0.11,51.45,6,2022
11,Allahabad Bank Apps,0.02,6.79,0.02,6.79,6,2022
39,Bajaj Finserv,1.16,85.49,1.16,85.49,6,2022
270,Jupiter Edge (LivQuick PPI),0.13,8.72,0.13,8.72,6,2022
320,NSDL Payments Bank Apps,0.02,2.44,0.02,2.44,6,2022
261,Jio Payments Bank Apps,1.87,116.34,1.87,116.34,6,2022
327,Others,0.02,6.34,0.02,6.34,6,2022
5,Airtel Payments Bank Apps,6.38,506.14,6.38,506.2,6,2022
252,Janata Sahakari Bank Apps,0.01,4.47,0.01,4.47,6,2022
41,Bajaj Markets,0.01,1.2,0.01,1.2,6,2022
266,Jupiter,1.89,223.22,1.89,223.22,6,2022
306,MI Pay,0.17,29.61,0.17,29.61,6,2022
106,Cointab,0.07,27.3,0.07,27.3,7,2022
99,City Union Bank Apps,0.03,10.19,0.03,10.19,7,2022
6,Airtel Payments Bank Apps,7.4,555.09,7.41,555.26,7,2022
12,Allahabad Bank Apps,0.03,6.95,0.03,6.95,7,2022
410,UCO Bank Apps,0.22,46.83,0.22,46.83,7,2022
92,Citi Bank Apps,0.11,63.66,0.11,63.66,7,2022
417,Ultracash,0.03,2.08,0.03,2.08,7,2022
43,Bandhan Bank Apps,0.01,1.35,0.01,1.35,7,2022
85,Central Bank of India Apps,0.22,58.37,0.22,58.37,7,2022
19,Amazon Pay,68.77,6751.8,68.77,6751.8,7,2022
42,Bajaj Markets,0.02,1.66,0.02,1.66,7,2022
26,AU Small Finance Bank Apps,0.42,131.49,0.42,131.49,7,2022
71,BHIM,24.48,7823.95,24.48,7823.95,7,2022
424,Union Bank Apps,0.49,208.03,0.49,208.03,7,2022
33,Axis Bank Apps,7.35,1174.32,53.99,1213.95,7,2022
64,Bank of Maharashtra Apps,0.06,16.47,0.06,16.47,7,2022
57,Bank of India Apps,0.15,46.44,0.15,46.44,7,2022
437,WhatsApp,6.18,502.0,6.18,502.0,7,2022
113,Cred,14.89,19716.43,14.89,19716.43,7,2022
430,Utkarsh Small Finance Bank Apps,0.02,4.55,0.02,4.55,7,2022
50,Bank of Baroda Apps,0.88,354.45,0.88,354.45,7,2022
40,Bajaj Finserv,1.95,128.52,1.95,128.52,7,2022
444,Yes Bank Apps,55.35,13868.41,60.8,15236.04,7,2022
78,Canara Bank Apps,0.47,128.79,0.47,128.79,7,2022
335,Paytm Payments Bank App,828.63,94507.77,933.88,111149.66,7,2022
130,Deutsche Bank Apps,1.87,116.0,1.87,116.01,7,2022
238,Indian Overseas Bank Apps,0.01,3.74,0.01,3.74,7,2022
363,RBL Bank Apps,0.52,120.48,0.54,121.17,7,2022
245,IndusInd Bank Apps,0.99,1652.26,0.99,1652.26,7,2022
